,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra
116,2,2015-06-06 05:27:46,2015-06-06 05:46:35,1,5.1,-73.8909988403,40.7468605042,1,N,-73.9730072021,40.7489089966,2,17.5,0.5
117,1,2015-06-06 05:27:46,2015-06-06 05:34:11,1,2.1,-73.9848175049,40.7429351807,1,N,-73.9892578125,40.7644271851,2,8.0,0.5
118,2,2015-06-06 05:27:47,2015-06-06 05:33:12,1,2.12,-73.9488372803,40.7774276733,1,N,-73.933883667,40.8029251099,2,8.0,0.5
119,1,2015-06-06 05:27:47,2015-06-06 06:03:03,4,17.3,-73.9952316284,40.752784729,2,N,-73.7820739746,40.6443099976,1,52.0,0.0
120,1,2015-06-06 05:27:48,2015-06-06 05:39:30,1,4.0,-73.9715423584,40.7924842834,1,N,-74.0040969849,40.7567481995,1,14.5,0.5
121,2,2015-06-06 05:27:48,2015-06-06 05:36:59,1,3.58,-74.0163879395,40.706451416,1,N,-73.9945297241,40.7459716797,1,12.0,0.5
122,1,2015-06-06 05:27:49,2015-06-06 05:31:52,1,1.0,-73.976020813,40.7514228821,1,N,-73.9749145508,40.7417068481,2,5.5,0.5
123,2,2015-06-06 05:27:49,2015-06-06 05:32:21,1,1.67,-73.993598938,40.7620811462,1,N,-74.0018234253,40.7427215576,1,7.0,0.5
124,2,2015-06-06 05:27:50,2015-06-06 05:32:58,2,1.81,-73.9802627563,40.7427368164,1,N,-73.9874420166,40.760307312,2,7.0,0.5
125,1,2015-06-06 05:27:51,2015-06-06 05:30:23,1,1.0,-73.9886016846,40.7494544983,1,N,-73.9788742065,40.761592865,2,5.0,0.5
126,1,2015-06-06 05:27:52,2015-06-06 05:31:03,1,0.6,-73.9888763428,40.7687263489,1,N,-73.9880447388,40.7629089355,1,4.5,0.5
127,1,2015-06-06 05:27:53,2015-06-06 05:35:58,1,1.3,-73.9833908081,40.7236747742,1,N,-73.9988479614,40.7341575623,1,7.5,0.5
128,2,2015-06-06 05:27:53,2015-06-06 05:33:40,2,1.54,-73.9883270264,40.7486610413,1,N,-73.9799041748,40.7614631653,2,7.0,0.5
129,1,2015-06-06 05:27:54,2015-06-06 05:31:42,1,1.1,-74.0015869141,40.7408256531,1,N,-73.9902420044,40.7481231689,2,5.5,0.5
130,2,2015-06-06 05:27:54,2015-06-06 05:40:04,5,4.86,-73.986579895,40.7295608521,1,N,-73.9468994141,40.7867012024,2,15.0,0.5
131,1,2015-06-06 05:27:55,2015-06-06 05:43:56,1,8.1,-73.9913024902,40.727596283,1,N,-73.940826416,40.8057365417,2,23.5,0.5
132,1,2015-06-06 05:27:55,2015-06-06 05:31:41,1,1.2,-73.9801940918,40.7653808594,1,N,-73.9914398193,40.7499732971,2,5.5,0.5
133,1,2015-06-06 05:27:56,2015-06-06 05:29:30,1,0.4,-74.0037155151,40.7401351929,1,N,-73.9973983765,40.7375068665,4,3.5,0.5
134,1,2015-06-06 05:27:57,2015-06-06 05:33:00,2,0.8,-73.9988632202,40.7511177063,1,N,-73.9819412231,40.7391929626,2,5.5,0.5
135,1,2015-06-06 05:28:01,2015-06-06 05:49:47,1,10.1,-73.9604263306,40.6984634399,1,N,-73.9296340942,40.8006095886,1,29.5,0.5
136,1,2015-06-06 05:28:04,2015-06-06 05:31:06,1,0.8,-73.9907913208,40.7506599426,1,N,-73.9892730713,40.7421531677,2,4.5,0.5
137,1,2015-06-06 05:28:05,2015-06-06 05:33:57,1,1.2,-73.9875106812,40.7603569031,1,N,-73.9773025513,40.7521820068,3,6.5,0.5
138,2,2015-06-06 05:28:06,2015-06-06 05:53:06,1,6.62,-73.9838638306,40.7435531616,1,N,-73.9075317383,40.7760047913,1,23.0,0.5
139,1,2015-06-06 05:28:07,2015-06-06 05:51:12,1,15.0,-73.7767410278,40.6454315186,1,N,-73.9163818359,40.7650222778,1,40.5,0.5
140,1,2015-06-06 05:28:10,2015-06-06 05:44:56,1,8.6,-73.9833145142,40.7656211853,1,N,-73.9180145264,40.8493461609,2,25.0,0.5
141,1,2015-06-06 05:28:10,2015-06-06 05:41:07,1,2.3,-73.9557266235,40.6575012207,1,N,-73.9218444824,40.6520462036,1,11.0,0.5
142,2,2015-06-06 05:28:11,2015-06-06 05:30:58,1,0.79,-73.959777832,40.7708282471,1,N,-73.9525756836,40.7798156738,1,4.5,0.5
143,2,2015-06-06 05:28:12,2015-06-06 05:38:17,1,4.24,-73.9823989868,40.7313499451,1,N,-73.9455490112,40.7860984802,2,13.0,0.5
